В каком году был выпущен фильм Крестный отец?,1972
В каком году отменили крепостное право?,1861
"Как называется группа со следующими участниками: Джон Дикон, Брайан Мэй, Фредди Меркьюри, Роджер Тейлор?",Queen
Где находится Статуя Свободы?(укажите страну),США
Где находится Колизей?(укажите страну),Италия
Как называется молот Тора?,Мьёльнир
Из чего сделан щит Капитана Америки?,Вибраниум
Количество игроков в гандбольной команде?,7
Какого инструмента нет в струнном оркестре?,Гитара
Автор балета Щелкунчик?,Чайковский
"В Азии он белый, Бразилии – пурпурный, Мексике желтый, Европе – черный. Назовите его.",Траур
Итальянцы называют это государство Монтенегро. Как его называем мы?,Черногория
Дата выхода четвёртого студийного альбома Indestructible группы Disturbed?,2008
"Персонаж Dota 2, заставляющий всех противников замолчать?",Silencer
"Автор музыки к кинофильмам Кавказская пленница, Бриллиантовая рука?",Зацепин
Какая березка стояла во поле?,Кудрявая
"Какой цвет волос был у возлюбленной Тристана Изольды, если верить Бедье?",Белокурый
В каком городе в 1932 году был проведён первый международный кинофестиваль?,Венеция
Какой химический элемент был назван в честь злого подземного гнома?,Кобальт
"У кого из <вампиров> кровь пьют только самки?",Комары